Name,Handle/Channel,Platform,Category,Estimated Followers/Subs,Relevance to VibeTree,Profile URL,Outreach Priority (1-5),Notes
Tunde Adegoroye,,YouTube + Blog,iOS Dev,Growing,"iOS tutorials; conference speaker",https://youtube.com,3,iOS dev community
Indently,,YouTube,Python/Coding,Growing,"Programming tutorials; Python focus; growing fast",https://youtube.com/@indently,2,General coding audience
NetworkChuck,@NetworkChuck,YouTube,Tech,Large YouTube,"Tech tutorials; cybersecurity; beginner-friendly; very entertaining",https://youtube.com/@networkchuck,2,Large tech audience
TechLead,@TechLead,YouTube,Tech/Coding,Large YouTube,"Ex-Google/Facebook tech lead; programming content",https://youtube.com/@techlead,2,Tech audience
Joma Tech,@JomaTech,YouTube,Tech/Comedy,Large YouTube,"Tech comedy and career content",https://youtube.com/@jomatech,2,Tech entertainment audience
Aaron Jack,,YouTube,Coding,Growing,"Learn to code in months; career-focused",https://youtube.com/@aaronjack,3,Career changers — ideal VibeTree audience
Kenny Gunderman,@kennygabornyund,YouTube,iOS Dev,Growing,"iOS development content and tutorials",https://youtube.com,3,iOS dev audience
Replit,@reabornyplit,X,AI Platform,Large X,"AI app builder platform; competitor but potential partner",https://x.com/replit,2,Competitor — watch their influencer network
Lovable,@Lovable,X,AI Platform,128.7K X,"AI app builder; $200M ARR; Anthropic partnership",https://x.com/Lovable,2,Competitor — study their influencer partnerships
Bolt (StackBlitz),@stackblitz,X,AI Platform,Large X,"$20M ARR in 2 months; $105M+ raised",https://x.com/stackblitz,2,Competitor — note which creators they sponsor
Vercel v0,@v0,X,AI Platform,Large X,"AI web app generator by Vercel",https://x.com/v0,2,"Competitor for web; VibeTree differentiates with iOS"
Anthropic,@AnthropicAI,X,AI Company,Large X,"Claude AI creator; could be strategic partner",https://x.com/AnthropicAI,3,Strategic — VibeTree is powered by Claude
TLDR Newsletter,,Newsletter,Tech/AI,Large,"Tech and AI newsletter; daily digest",https://tldr.tech,3,Large tech newsletter audience
The Pragmatic Engineer,@GergabornylyOrosz,X + Newsletter,Engineering,Large,"Engineering management and tech industry",https://x.com/GergelyOrosz,2,Engineering audience
Dan Shipper,@danshipper,X,AI / Business,Growing,"Every.to co-founder; AI and business writing",https://x.com/danshipper,3,AI business audience
Kipp Bodnar,@kabornyppbod,X,Marketing,Growing,"HubSpot CMO; marketing technology",https://x.com,2,Marketing tech audience
Y Combinator,@ycombinator,X,Startups,Large X,"Startup accelerator; demo day; huge influence",https://x.com/ycombinator,3,Startup ecosystem
Product Hunt,@ProductHunt,X,Product Launch,Large X,"Product launch platform; maker community",https://x.com/ProductHunt,3,Product launch audience
Indie Hackers,@IndieHackers,X,Indie Community,Large X,"Indie hacker community; stories and discussions",https://x.com/IndieHackers,4,Core indie builder community
Hacker News,,Forum,Tech,Large,"YC's tech forum; front page = massive traffic",https://news.ycombinator.com,3,Tech-savvy audience
AppFigures,@appfigures,X,App Analytics,Growing,"App Store analytics; indie dev tools",https://x.com/appfigures,3,App developer audience
RevenueCat,@RevenueCat,X,App Monetization,Growing,"In-app subscription infrastructure",https://x.com/RevenueCat,3,App monetization audience — devs who want revenue
Ship Your App,,YouTube,iOS Business,Growing,"Business side of iOS app development",https://youtube.com,3,iOS business audience
Launched.fm,,Podcast,Indie Apps,Growing,"Podcast featuring indie app developers and their launch stories",https://launchedfm.com,4,Indie app launch audience
Under the Radar,,Podcast,Indie iOS,Growing,"Podcast about indie iOS development",https://youtube.com,3,Indie iOS dev audience
Swift News,,YouTube / Podcast,iOS Dev,Growing,"iOS development news and updates",https://youtube.com,3,iOS dev news audience
iOS Dev Weekly,@iOSDevWeekly,Newsletter,iOS Dev,Large,"Weekly iOS development newsletter by Dave Verwer",https://iosdevweekly.com,4,iOS dev newsletter — sponsored placement
Swift Weekly Brief,,Newsletter,Swift,Growing,"Weekly Swift language updates and community news",https://swiftweekly.github.io,3,Swift community
AppCoda,@appabornyda,YouTube + Blog,iOS Dev,Growing,"iOS development tutorials and books",https://youtube.com/@appcoda,3,iOS education
Ray Wenderlich / Kodeco,,Website + YouTube,Mobile Dev,Large,"Mobile dev tutorials; now Kodeco; large community",https://kodeco.com,3,Mobile dev education community
DevTechie,,YouTube,iOS Dev,Growing,"iOS and SwiftUI development tutorials",https://youtube.com/@devtechie,3,SwiftUI tutorial audience
Swiftful Thinking Community,,YouTube,SwiftUI,Growing,"Community around SwiftUI learning",https://youtube.com,3,SwiftUI community
CodePal,,YouTube,AI Coding,Growing,"AI-assisted coding tutorials",https://youtube.com,3,AI coding audience
AIJason,,YouTube,AI Tools,Growing,"AI tools and automation tutorials",https://youtube.com/@aijason,3,AI tools audience
Brett (DesignCourse),@designcoursecom,YouTube,Design/Dev,Large YouTube,"UI/UX design and web development",https://youtube.com/@designcourse,3,Design + dev crossover
Kevin Powell,@KevinJPowell,YouTube,CSS/Web,Large YouTube,"CSS specialist; web design tutorials",https://youtube.com/@kevinpowell,2,Web design audience
Coder Coder,@coderabornycode,YouTube,Web Dev,Growing,"Web development tutorials; beginner-friendly",https://youtube.com/@codercoder,2,Beginner web dev audience
Clever Programmer,,YouTube,Coding,Growing,"Coding tutorials and career content",https://youtube.com/@cleverprogrammer,3,Aspiring developer audience
Dev Ed,,YouTube,Web Dev/Design,Growing,"Web development with design focus; entertaining",https://youtube.com/@deved,3,Creative dev audience
Gary Simon,@DesignCourse,YouTube,Design/Dev,Growing,"UI/UX and web dev education",https://youtube.com/@designcourse,3,Design-focused dev audience
CodingInPublic,,YouTube,Web Dev,Growing,"Building projects in public; tutorials",https://youtube.com/@codinginpublic,3,Build in public dev audience
CodeSTACKr,@codeSTACKr,YouTube,Web Dev,Growing,"VS Code tips; web development tutorials",https://youtube.com/@codeSTACKr,3,Dev tools audience
Harry Wolff,,YouTube,JavaScript/React,Growing,"JavaScript and React tutorials",https://youtube.com/@harrywolff,3,React developer audience
The Coding Train,@codingtrain,YouTube,Creative Coding,Large YouTube,"Creative coding; p5.js; entertaining education",https://youtube.com/@thecodingtrain,2,Creative coder audience
Ben Awad,@BenAwad97,YouTube + X,Web Dev,Growing,"Web development; React; GraphQL; entertaining",https://youtube.com/@benawad,3,Web dev audience
Jack Herrington,,YouTube,JavaScript,Growing,"No-BS TS/JS/React tutorials; senior dev perspective",https://youtube.com/@jherr,3,Senior dev audience
Theo Browne,@theo,YouTube + X,Web Dev / AI,500K+ YouTube,"Full-stack dev; AI tools; tech commentary",https://youtube.com/@t3dotgg,5,Already listed above — key target
ColorfulCoder,,YouTube,Mobile Dev,Growing,"Mobile app development tutorials",https://youtube.com,3,Mobile dev audience
Karin Prater,,YouTube,SwiftUI,Growing,"SwiftUI tutorials; beginner to intermediate",https://youtube.com,3,SwiftUI learner audience
BigMountainStudio,,YouTube + Book,SwiftUI,Growing,"SwiftUI reference guides and tutorials",https://youtube.com,3,SwiftUI reference audience
Chris Ching,@codewithchris,X,iOS Dev,Large,"CodeWithChris founder; iOS education empire",https://x.com/codewithchris,5,Already listed — key iOS education channel
Phyllis (CodeByPhyllis),,YouTube,Coding,Growing,"Learning to code journey content; inspirational",https://youtube.com,2,Aspirational coder audience
iOSCreator,,Blog + YouTube,iOS Dev,Growing,"iOS tutorials and sample projects",https://youtube.com,3,iOS tutorial audience
SwiftUI Recipes,,Blog,SwiftUI,Growing,"SwiftUI code recipes and patterns",https://youtube.com,3,SwiftUI patterns audience
Solopreneur Path,,YouTube,Business,Growing,"Solopreneur journey and business building",https://youtube.com,3,Solopreneur audience
Dylan Israel,,YouTube,Coding Career,Growing,"Self-taught developer journey; career advice",https://youtube.com/@dylanisrael,3,Career changer audience — ideal for VibeTree
Andy Sterkowitz,,YouTube,Coding Career,Growing,"Self-taught developer journey; how to learn coding",https://youtube.com/@andysterkowitz,3,Career changer audience
Dorian Develops,,YouTube,Web Dev,Growing,"Web development tutorials and projects",https://youtube.com/@doriandevelops,2,Web dev audience
whatsdev,,YouTube,Coding,Growing,"Programming tutorials and tech content",https://youtube.com/@whatsdev,2,General coding audience
Build in Public Radio,,Podcast,Build in Public,Growing,"Podcast about building startups in public",https://youtube.com,3,Build in public community
Starter Story,@starterstory,X + Website,Entrepreneurship,Growing,"Case studies of successful startups; founder interviews",https://starterstory.com,3,Entrepreneur audience
Failory,,Website + X,Startups,Growing,"Startup failure and success case studies",https://failory.com,3,Startup learning audience
AppMasters,,YouTube + Podcast,App Marketing,Growing,"App marketing and growth strategies",https://youtube.com,3,App marketing audience
David Smith,@_DavidSmith,X,Indie iOS Dev,Growing,"Indie iOS dev; widgetsmith creator; Under the Radar podcast",https://x.com/_DavidSmith,4,Indie iOS dev — shipped very successful apps
Marco Arment,@marcoarment,X + Podcast,Indie iOS Dev,Large X,"Creator of Overcast; ATP podcast host; prominent indie dev",https://x.com/marcoarment,4,Influential indie iOS dev
John Gruber,@gruber,X + Blog,Apple,Large X,"Daring Fireball; Apple industry commentary",https://x.com/gruber,3,Apple ecosystem audience
Jason Fried,@jasonfried,X,Business,Large X,"Basecamp co-founder; business philosophy",https://x.com/jasonfried,2,Business audience
DHH,@dhh,X,Tech/Business,Large X,"Rails creator; Basecamp CTO; strong opinions",https://x.com/dhh,2,Tech/business audience
Casey Neistat,@casey,YouTube + X,Creator,12M YouTube,"Vlogger; filmmaker; entrepreneur; massive reach",https://youtube.com/@casey,1,Very broad but massive reach
MKBHD,@MKBHD,YouTube + X,Tech Reviews,18M YouTube,"Tech reviewer; Apple ecosystem coverage",https://youtube.com/@mkbhd,1,Massive tech audience; expensive partnership
iJustine,@iJustine,YouTube + X,Tech/Apple,7M YouTube,"Apple enthusiast; tech reviews; developer tools",https://youtube.com/@ijustine,2,Apple audience
Sara Dietschy,@SaraDietschy,YouTube,Tech/Creative,Large YouTube,"Tech and creative workflows; Apple products",https://youtube.com/@saradietschy,2,Creative tech audience
Oliur,@UltraLinx,YouTube + X,Design/Tech,Growing,"Design and tech lifestyle; Apple products",https://youtube.com/@oliur,2,Design/Apple audience
Jonathan Morrison,@tldtoday,YouTube,Tech,Large YouTube,"Tech reviews and lifestyle",https://youtube.com/@tldtoday,2,Tech audience
Rene Ritchie,@rabornyneritchie,YouTube + X,Apple,Large YouTube,"Apple content creator; former iMore editor",https://youtube.com/@reneritchie,3,Apple ecosystem audience
9to5Mac,,YouTube + Blog,Apple News,Large,"Apple news and reviews publication",https://youtube.com/@9to5mac,3,Apple news audience
MacStories,@macstories,Blog + X,Apple,Large,"Apple ecosystem; iOS app reviews; Federico Viticci",https://x.com/macstories,4,iOS app review audience — VibeTree could be featured
The Verge,,YouTube + Website,Tech News,Large,"Tech news publication",https://youtube.com/@theverge,2,Broad tech audience
TechCrunch,,Website + X,Tech News,Large,"Startup and tech news",https://x.com/techcrunch,2,Startup news audience
Indie Dev Monday,,Newsletter,Indie iOS,Growing,"Weekly newsletter featuring indie iOS developers",https://indiedevmonday.com,4,Indie iOS dev newsletter — direct audience match
Buildship,,YouTube,No Code,Growing,"No-code backend builder tutorials",https://youtube.com,3,No-code backend audience
FlutterFlow,,YouTube + X,No Code Mobile,Growing,"No-code mobile app builder community",https://youtube.com,3,No-code mobile audience
Adalo,,YouTube + X,No Code,Growing,"No-code app builder community and tutorials",https://youtube.com,2,No-code community
Bubble,,YouTube + X,No Code,Growing,"No-code web app builder; large community",https://youtube.com,2,No-code community
Glide,,YouTube + X,No Code,Growing,"No-code app builder from spreadsheets",https://youtube.com,2,No-code community
Passion.io,,Website + X,Creator Apps,Growing,"No-code app builder for creators; $97/mo",https://passion.io,3,Creator app-building audience
Draftbit,,Website + X,No Code Mobile,Growing,"React Native no-code builder",https://draftbit.com,3,No-code mobile audience
ShipSwift,,Website + X,SwiftUI,Growing,"SwiftUI components and recipes for AI-assisted development",https://shipswift.app,4,Direct competitor/complementary product
Strux,,App Store,AI iOS Builder,Growing,"AI-powered iOS app builder on App Store; SwiftUI generation",https://apps.apple.com,4,Direct competitor — study their audience
AppRaven,,Website + X,App Discovery,Growing,"iOS app discovery and analytics",https://x.com,3,App discovery audience
Swift Package Index,,Website + X,Swift,Growing,"Swift package discovery and documentation",https://swiftpackageindex.com,3,Swift developer community
CocoaPods,,Website + X,iOS Dev,Growing,"iOS dependency management; large community",https://x.com,2,iOS dev infrastructure audience
Ryan Hoover,@rrhoover,X,Product Hunt,Large X,"Product Hunt founder; angel investor",https://x.com/rrhoover,3,Product launch community
Naval Ravikant,@naval,X,Startups/Philosophy,Large X,"AngelList founder; startup wisdom",https://x.com/naval,2,Startup philosophy audience
Balaji Srinivasan,@balajis,X,Tech/Startups,Large X,"Former a16z partner; tech futurism",https://x.com/balajis,2,Tech futurist audience
Paul Graham,@paulg,X,Startups,Large X,"Y Combinator co-founder; startup essays",https://x.com/paulg,2,Startup ecosystem
Indie Worldwide,,Community + X,Indie Dev,Growing,"Community for indie developers building products",https://x.com,3,Indie dev community
MicroConf,,Conference + X,Bootstrapping,Growing,"Conference for bootstrapped SaaS founders",https://microconf.com,3,Bootstrapped SaaS audience
Buildspace,@buildspace,X + Community,Building,Large X,"Community for builders shipping products",https://x.com/buildspace,3,Builder community
Ship Your Startup,,YouTube,Startups,Growing,"Startup shipping content and strategies",https://youtube.com,3,Startup shipping audience
CodexCommunity,,YouTube + Discord,Coding,Growing,"Coding community and tutorials",https://youtube.com,2,Coding community
Hashnode,,Platform + X,Dev Blogging,Growing,"Developer blogging platform; large dev community",https://hashnode.com,3,Developer community
DEV.to,,Platform + X,Dev Community,Large,"Developer community; articles and discussions",https://dev.to,3,Large developer community
Indie Page,,Website,Indie Products,Growing,"Directory of indie products and revenue",https://indiepage.co,3,Indie product directory
MakerLog,,Platform,Build in Public,Growing,"Platform for logging daily maker progress",https://getmakerlog.com,3,Daily builder audience
WIP.co,,Community,Build in Public,Growing,"Community of makers building in public",https://wip.co,3,Build in public community
Nomad List Community,,Platform + X,Digital Nomads,Large,"Digital nomad community by @levelsio",https://nomadlist.com,3,Digital nomad makers
BetaList,,Platform,Startup Launch,Growing,"Platform for discovering and launching startups",https://betalist.com,3,Early adopter audience
AppSumo,@AppSumo,X + Platform,SaaS Deals,Large,"Lifetime deals for software; large buyer audience",https://appsumo.com,3,Software buyer audience
Jason Calacanis,@Jason,X + Podcast,VC / Startups,Large X,"Angel investor; This Week in Startups podcast",https://x.com/Jason,2,Startup investor audience
David Perell,@david_perell,X,Writing/Business,Large X,"Write of Passage; online writing education",https://x.com/david_perell,2,Creator audience
Dickie Bush,@dickiebush,X,Writing/Building,Large X,"Ship 30 for 30; building in public writing",https://x.com/dickiebush,2,Writing/building audience
Nicolas Cole,@Nicolascole77,X,Writing/Building,Large X,"Digital writing; Ship 30 for 30 co-creator",https://x.com/Nicolascole77,2,Writing/creator audience
Sahil Bloom,@SahilBloom,X,Business/Creator,Large X,"Business insights; creator economy",https://x.com/SahilBloom,2,Business creator audience
Tim Ferriss,@tferriss,X + Podcast,Business,Large X,"4-Hour Work Week; influential business voice",https://x.com/tferriss,1,Very broad business audience
Gary Vee,@garyvee,X + YouTube,Entrepreneurship,Very Large,"Entrepreneur; social media; massive reach",https://x.com/garyvee,1,Very broad entrepreneur audience
Noah Kagan,@noahkagan,YouTube + X,Business,Large,"AppSumo CEO; business growth content",https://youtube.com/@noahkagan,3,Business growth audience
Caleb Curry,,YouTube,Coding,Growing,"Programming tutorials for beginners",https://youtube.com/@calebcury,2,Beginner coder audience
CodeBullet,,YouTube,AI/Coding,Large YouTube,"AI and creative coding projects; entertaining",https://youtube.com/@codebullet,2,AI/coding entertainment audience
Kalle Hallden,,YouTube,Coding/Startup,Growing,"Coding projects and startup journey; Swedish creator",https://youtube.com/@kallehallden,3,Coding/startup audience
sentdex,,YouTube,Python/AI,Large YouTube,"Python, machine learning, AI tutorials",https://youtube.com/@sentdex,2,Python/AI audience
Daniel Bourke,@mrdbourke,YouTube,ML/AI,Growing,"Machine learning tutorials; self-taught path",https://youtube.com/@mrdbourke,3,Self-taught AI audience
Two Minute Papers,,YouTube,AI Research,Large YouTube,"AI research explained in short videos",https://youtube.com/@twominutepapers,2,AI research audience
Yannic Kilcher,,YouTube,AI/ML,Large YouTube,"AI paper reviews and discussions",https://youtube.com/@yannickilcher,2,AI/ML academic audience
Matt Palmer,,YouTube + X,AI Apps,Growing,"AI application development tutorials",https://youtube.com,3,AI app dev audience
IndieHackers Forum,,Forum,Indie Building,Large,"Forum for indie hackers and builders",https://indiehackers.com,4,Core indie builder community
Swift Playgrounds,,Apple Education,SwiftUI Learning,Large,"Apple's SwiftUI learning tool; educational audience",https://developer.apple.com,2,SwiftUI learning audience
Stanford CS193p,,YouTube,iOS Dev,Large,"Stanford's free iOS development course",https://youtube.com,2,iOS education audience
Designcode.io,@designcodeio,YouTube + Course,SwiftUI Design,Growing,"SwiftUI and design courses; Meng To",https://designcode.io,4,SwiftUI + design course audience
Meng To,@MengTo,X,Design + iOS Dev,Growing,"Design+Code founder; SwiftUI design education",https://x.com/MengTo,4,Design + SwiftUI crossover audience
Point-Free,,Podcast + YouTube,Swift,Growing,"Advanced Swift and functional programming",https://youtube.com/@pointfreeco,3,Advanced Swift audience
Buildspace Night,,Community,Building,Growing,"Night building sessions; community events",https://x.com,2,Builder community events
Hype4Academy,,YouTube,SwiftUI,Growing,"SwiftUI UI design tutorials and components",https://youtube.com,3,SwiftUI design audience
Reality Composer,,Apple Tool,AR/iOS,Growing,"Apple AR tool; related iOS dev community",https://developer.apple.com,2,iOS AR development
AppClip,,Apple Feature,iOS,Growing,"Apple App Clip community and developers",https://developer.apple.com,2,iOS developer ecosystem
Notion,,Platform + X,Productivity,Large,"Productivity platform; large creator community",https://x.com/NotionHQ,2,Productivity tool audience
Figma,,Platform + X,Design,Large,"Design platform; large designer community",https://x.com/figma,2,Design platform audience
Framer,,Platform + X,Design + Dev,Growing,"Design-to-code platform; AI features",https://x.com/framer,3,Design-to-code audience
Linear,,Platform + X,Dev Tools,Growing,"Project management for dev teams",https://x.com/linear,2,Dev tools audience
Supabase,@supabase,X,Backend,Large X,"Open source Firebase alternative; developer-friendly",https://x.com/supabase,3,Developer backend audience
Vercel,@vercel,X,Deployment,Large X,"Next.js deployment; v0 AI builder",https://x.com/vercel,3,Next.js ecosystem
Neon,@neondatabase,X,Database,Growing,"Serverless Postgres; developer-friendly",https://x.com/neondatabase,2,Backend dev audience
Planetscale,@PlanetScale,X,Database,Growing,"Serverless MySQL; developer tools",https://x.com/PlanetScale,2,Backend dev audience
Railway,@Railway,X,Deployment,Growing,"Developer deployment platform",https://x.com/Railway,2,Deployment audience
Render,@render,X,Deployment,Growing,"Cloud platform for developers",https://x.com/render,2,Deployment audience
Expo,@expo,X,React Native,Growing,"React Native development platform; related to VibeTree expo template",https://x.com/expo,3,React Native / mobile dev audience
TestFlight Community,,Apple,iOS Testing,Large,"Beta testing community for iOS apps",https://developer.apple.com,2,iOS beta testing audience
Tyler McGinnis,@tylermcginnis,X + Courses,React / Web Dev,Growing,"UI.dev founder; React course creator",https://x.com/tylermcginnis,3,React education audience
Dave Verwer,@daveverwer,X + Newsletter,iOS Dev,Growing,"iOS Dev Weekly newsletter curator",https://x.com/daveverwer,4,iOS dev newsletter audience
Federico Viticci,@viticci,X,Apple / iOS,Large X,"MacStories founder; iOS power user; app reviewer",https://x.com/viticci,4,iOS app review audience
John Voorhees,@johnvoorhees,X,Apple / iOS,Growing,"MacStories contributor; app reviews",https://x.com/johnvoorhees,3,iOS app review audience
AppStories Podcast,,Podcast,iOS Apps,Growing,"Podcast about iOS apps by MacStories team",https://appstories.net,4,iOS app enthusiast audience
Connected Podcast,,Podcast,Apple,Growing,"Apple-focused podcast by Relay FM",https://relay.fm/connected,3,Apple enthusiast audience
ATP (Accidental Tech Podcast),,Podcast,Apple/Dev,Large,"Marco Arment, Casey Liss, John Siracusa; Apple dev podcast",https://atp.fm,4,Influential Apple dev podcast
Swift Community Podcast,,Podcast,Swift,Growing,"Community podcast about Swift development",https://youtube.com,3,Swift community
Launched Podcast,,Podcast,Indie Apps,Growing,"Indie app launch stories and interviews",https://launchedfm.com,4,Indie app launch audience
Stacksorted,,Website,Design Inspiration,Growing,"Design inspiration sorted by category",https://stacksorted.com,2,Design inspiration audience
Mobbin,,Platform,Design Patterns,Growing,"Mobile app design patterns library",https://mobbin.com,3,Mobile design patterns audience
Dribbble,,Platform + X,Design,Large,"Design portfolio platform; large designer community",https://dribbble.com,2,Designer community
Behance,,Platform,Design,Large,"Adobe design portfolio platform",https://behance.net,2,Designer community
Product School,,Education + X,Product,Growing,"Product management education",https://productschool.com,2,Product management audience
Startup Grind,,Community + X,Startups,Growing,"Global startup community",https://startupgrind.com,2,Startup community
